% Title : Training set 100 positives and 1000 negatives, balance 0.1.
% Description : A training set.

@RELATION Train_100_1000_0.1

@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}
@DATA
93.53125,49.8312680296,0.6441534451,0.8080936622,104.303291536,37.3179064769,0.3740153003,-0.1761402701,0
169.6875,48.3890079848,-0.7890701242,1.2426272904,160.182765152,51.540577078,-0.7451360651,-0.0488592964,0
118.625,50.0004687478,0.2857420572,-0.0111968079,100.970494418,40.2843947795,0.3446132778,-0.064263658,0
79.15625,41.4281074385,1.1813790019,3.385609024,90.2281468531,33.0213577889,0.2113322708,-0.0051637738,0
141.3125,46.8877899218,0.0113096803,0.9439541719,105.160663236,43.1799713065,0.2445942368,-0.3166610918,0
116.75,46.5614513305,0.6197180747,1.2866197019,95.2033976125,30.090293372,0.3383433072,0.5132526975,0
129.875,50.2520211036,0.0879425458,-0.1577612009,101.292185554,54.64203945,0.7419407129,-0.6019198936,0
112.796875,48.7426852485,0.1798743663,0.4465808776,136.076515152,35.4725274831,-0.1043225752,0.1824199019,0
86.015625,40.4183173927,0.8829634369,3.1855026524,94.4453551913,33.3359678969,0.3524791167,0.0867247897,0
77.875,43.5080811459,0.9645723921,2.86944861,86.0099354198,33.3951473647,0.745099456,0.8477966371,0
27.9375,39.571483972,4.9378206752,24.1668410314,59.9756871036,40.0132171716,1.5381875462,3.5534793549,1
47.015625,49.6558443777,2.4953685869,5.9303985953,115.787878788,58.5294551454,0.427258199,-0.5611942875,1
104.265625,42.9451838785,0.2060841323,1.4740572268,107.035615899,44.6297915157,0.1561740796,-0.8090217217,0
127.84375,48.2682021204,-0.0162350966,0.0509296656,115.032150776,42.8426459785,0.3171837259,-0.2080941698,0
125.25,75.2794792756,-0.1335245151,-1.2317726567,76.8425925926,39.6748841842,1.0975862794,1.6297244926,0
92.5625,40.4068662946,0.6890759857,2.6176097386,95.8628972653,33.6702639159,0.738319464,0.9604380932,0
106.78125,56.4995765333,0.5073309838,-0.1503579599,101.508193523,61.4642617563,0.6724782691,-0.8655045121,0
71.75,44.6164207439,1.2655816221,3.1086598602,100.012332629,37.4467466291,0.4084804654,0.313386145,0
92.28125,40.8589298494,0.913902271,2.8602049168,104.097288676,40.1449936974,0.5427194289,0.2151685384,0
81.796875,36.8642694928,1.442876565,5.8218792056,75.0354020979,26.4803837249,0.3389613631,0.6024650246,0
86,40.8262323758,0.86630345,3.2161561704,103.742135642,42.9137027874,0.5506906813,-0.2245129104,0
98.1875,50.6692322199,0.5660553472,1.0370036167,117.877249053,40.6479068683,0.1061639191,-0.2832528003,0
83.296875,42.7155122904,0.9054370998,2.6031676686,118.07483531,37.0198598795,0.491896573,0.122616858,0
120.328125,52.7583093833,0.3008666148,-0.2766561845,112.861111111,49.5730473444,0.5145245443,-0.3778649478,0
124.28125,53.6048822258,0.2849104604,-0.1559023788,90.8330721003,32.2820735226,0.4430264555,0.6449101049,0
87.140625,51.5615127746,0.9448976396,1.2479904335,114.203081232,40.119069479,0.0606978525,-0.4536248873,0
83.46875,43.3463409464,0.9830072626,2.2646622068,86.8007575758,44.1872016234,0.5909467809,-0.3295530687,0
84.921875,41.5392527796,0.9378494662,2.7599803973,99.4912225705,37.1412083634,0.4422756,0.0496716601,0
128.15625,53.078426276,0.2190515418,-0.1561533184,131.362158167,46.8351478437,-0.2809125926,-0.471004347,0
93.671875,54.0555428146,0.7612498458,0.6490686736,106.096720631,32.6883942454,0.5122902861,0.5900846319,0
54.109375,38.5730302428,2.7340296376,11.2160522135,53.5278460278,32.6984372645,2.5942281693,8.9356157493,1
86.15625,40.9165380493,0.8836516211,3.0115552884,128.840488215,38.5544268805,-0.3214615189,0.3212890762,0
114,55.349175694,0.3072596656,-0.2626722217,162.102272727,50.3311849319,-0.91218548,-0.0695397252,0
131.9375,58.0535515171,-0.4235985556,-0.5367948546,164.123517787,39.6936252686,-0.6390325577,0.1714168324,0
91.265625,47.3105571555,0.6823865271,0.7427600113,102.718500797,41.4322108356,0.2361738967,-0.1934316529,0
109.484375,38.164116076,0.5088788125,2.4972866866,95.2033492823,36.1510691045,0.5436996582,0.5671535164,0
104.6875,56.9305703796,0.5675357783,-0.0543903515,100.993834448,36.3111087251,0.5498113854,0.3307097778,0
97.78125,47.5419120192,0.3607966124,0.78623229,145.239177489,52.2153812672,-0.3237108293,-0.8947590084,0
99.234375,51.5935867464,0.5144469969,0.2426491328,122.303229665,39.7196610361,0.0934791376,-0.1910791296,0
111.984375,39.4526980175,0.0793557111,2.0939920874,97.5528360528,35.3279139657,0.5368969425,0.4713765124,0
79.46875,43.2366195885,0.9869798688,2.4399514455,91.8193181818,42.0986792367,0.5540375012,0.0347342555,0
68.609375,36.0570802632,2.7133758927,12.0388214257,80.3188131313,35.5875467608,1.0605087336,3.199445723,1
99.1875,51.3492560194,0.4924076645,0.3042091334,104.581060606,56.0603998307,0.4639820439,-0.7302158239,0
106.625,48.7408645286,0.4376526604,0.8247692035,85.3580183861,32.8135125616,0.6416966593,0.8881247093,0
95.109375,40.1925510774,0.9216332127,2.946812115,105.212409812,35.2330221367,0.495680897,0.421656689,0
137.96875,55.6442294711,-0.0666675519,-0.3468663921,121.084980237,60.5813352461,-0.1126017289,-1.2439848587,0
112.84375,62.4144962003,0.3164520296,-0.5059327003,94.4468395293,43.2926353614,0.7670312786,0.2981468627,0
126.5,63.2561755878,0.0294623361,-0.8025969534,83.2739641311,56.1005735813,1.1268404228,0.4884990519,0
117.015625,52.003152605,0.0983313388,-0.2027941122,106.51010101,44.9572672754,-0.0225110387,-0.8417774166,0
127.625,68.1720021343,-0.3006591007,-0.9887511067,130.637784091,53.1061637945,-0.1801719771,-0.9975145984,0
95.6875,53.6999403515,0.830209449,1.050674352,103.726016643,36.8710306316,0.3544990898,0.0535028496,0
121,57.1811813449,0.1455084994,-0.2420774021,144.611784512,63.0483684443,-0.180547226,-1.1422606936,0
101.25,54.3607740011,0.3138966326,-0.2937019439,143.528474399,41.7943349102,-0.5222295684,-0.084097954,0
76.421875,42.0062512786,1.2477744867,3.718652837,79.4386548411,34.4643646455,0.7157487554,0.9366078332,0
96.53125,39.6582938796,0.6847224898,3.3212195643,104.494009866,37.1661953131,0.0716008562,0.1182665421,0
73.390625,43.852600118,1.3732325861,3.5025519529,95.9541847042,40.2349036044,0.6083001252,0.283884358,0
85.1875,46.2489442447,0.8883210882,1.6963198928,119.174447174,39.132053914,0.0326758464,-0.223833264,0
114.75,47.4321884378,0.190835688,0.9006428833,105.235497835,48.6375107878,0.0911555643,-0.8205373686,0
13.28125,38.0515557952,5.2528118287,27.5576007968,57.6844223485,41.0360681124,1.5620321516,3.1689121231,1
130.71875,55.1113840185,0.1304847212,-0.174106262,122.776297001,43.2631308323,0.117464945,-0.5567161119,0
